0026 fff1 ffc6 fff8
ffda fffe 0012 0008
ffe4 ffe0 fff8 fffa
001e 000b fff3 ffef


0016 00b9 0078 0000
0097 00a0 00b7 0000
0015 00af 007f 0000

ff82 ffde ff40 0000
ff12 ff39 fec6 0000
ff85 ffcf ff4c 0000

0002 0028 0009 0000
001d 0188 0049 0000
0002 0035 001a 0000

fffd 0009 0026 0000
ffdd fdb1 ffef 0000
000a ffe6 0032 0000


fff2 0014 fffe fff8
0012 0000 fff8 0011
ffff fff8 fff5 fffa
ffff ffef 000e 0012
fff0 0005 0013 ffe5
000b fffe fff3 000c
fff6 0012 0005 0018
000a 0012 fff1 ffd6
0020 0024 0023 ffed
ffd7 0003 000e 0000
ffc6 0005 ffde 001f
fff3 000e 000e fffc
0005 ffeb fff1 ffe3
ffef 0000 0026 fff7
002b 0003 0015 ffe4
fff6 0010 ffcf ffe1
000b 0035 fff8 fff4
ffd8 000a 0011 fff3
0014 ffea fffd fffd
0003 001f fff2 0010
001c 0024 fffe fffd
0001 0014 0007 0003
0022 ffe4 ffd1 0011
001f 0007 ffee 002b

ffd9 fff9 fff8 fff7
fff9 fff1 000b fff8
0014 ffff 0004 0003
ffef fffe 0002 fffc
fff8 000b fffb 0004
0003 fff3 fffa 0004
fff4 ffee fffd fffd
ffbf 0037 0002 0003
000a fff7 0005 fff5
0006 fff4 0008 0000
0007 000b fff4 fff2
ffd3 0002 fff1 000b
0009 0013 fffa fff3
fffc 0005 0011 0014
0001 001b 0003 000a
0003 001e 0035 0005
ffeb 0005 0000 fffc
000d 0007 0003 fffb
fff3 0005 0006 000c
fff0 0004 ffe5 000e
fff6 fff3 000a 0000
fffc 0012 000d 0004
0005 000e fff9 002a
0003 0018 0008 0010

fff7 ffb8 fffc ffd3
ffe2 fff9 ffd1 001f
0010 ffde 002b 0005
001b ffff 001c 001e
ffc8 0026 0032 000e
fff6 000a ffe8 0029
fffb ffc3 0007 000c
ffd8 ffd4 ffea ffc7
0037 fff2 fff3 ffe5
ffe3 0037 000d 0005
ffed ffe6 001b 0015
ffe1 ffc8 ffe3 fffb
0003 ffeb 0012 ffab
fff1 0022 ffef 0015
ffce ffda fff9 fff0
001f 0020 0003 fff3
0029 ffdd 0018 fffb
0008 0022 001a ffe3
ffdb 001a ffea ffd8
0004 fff5 0029 ffff
000a 0005 ffc8 0011
001d ffef 002a 0029
0006 0031 fff6 ffc7
fffa ffec 000c fffd

002e 000f fff6 000b
000f fff7 fffd fff5
fff4 ffde 0020 fff9
003c 003a 0006 0009
003f ffff 0011 fffa
000b fff7 fffd 000f
001e 0016 fff5 fff8
0010 fff4 ffeb ffd9
0017 0022 ffeb ffea
0001 000e fff7 fff5
0010 fff5 ffee 0005
fff8 000b fff0 0007
0003 ffdc fffa ffe8
ffe5 0011 000d ffe4
fff0 0018 fff6 001a
0011 fff1 fffd 0012
000b 0026 fff3 0006
ffea ffdb 0015 ffed
0015 0029 0008 ffff
000a ffee ffd4 0001
000f fff0 fff4 ffe5
0004 ffd9 0012 0007
001c fff6 0000 0027
fff2 000a fff9 000a
