ffe0 fff4 0023 fff0
fff6 fffc fffc fffb
0009 ffe8 ffff 0009
fff8 fffa fff5 0022

000e ff99 ffc8 0001
ffd2 0018 ffe2 000d
0028 0004 ffe4 fffb
0005 fff3 ffe4 000a
0017 000a 0017 001f
0003 0019 000e 0000
0019 0009 fff2 000c
ffd5 ffe6 0017 fff4
0002 0007 000a 0014
fffc 0028 ffde ffe9
0013 ffe6 fff9 fff0
ffdf ffea ffde fff5
0007 0011 0016 fff8
0020 0026 ffff ffed
fff5 fff0 fff8 0018
ffe4 fff1 002c ffe3
0003 fff1 fff5 003a
0011 0011 000a fff7
ffeb ffe1 fff2 fff4
0017 0006 ffe3 ffe8
fff9 ffdd ffdb 0023
0014 0006 ffe8 0004
0025 fff5 fff3 0000
001f ffe8 000e ffed

ffda ffe5 0016 ffcd
0011 ffb5 001e 0010
000c ffd8 fff5 001e
0009 fff9 ffda 000c
0028 fff4 0039 0005
002c 0015 0015 0024
ffe3 fff1 ffed 0006
ffdb ffef 002b 000f
fffd 001e fffc fffe
0011 000c ffe5 0016
0009 ffd7 000e 000d
fffe ffe5 ffda fff3
ffbd 0013 000a 001f
ffde 0004 0011 ffd8
0027 002d fff7 ffc2
fffa 0022 001c 0004
0019 ffdc 0001 000f
000b 0016 ffdf ffe3
0017 0010 0008 0012
ffee fffe 0003 0032
fff8 fff5 ffff 0036
001d ffe7 000a 0011
000b 0009 0001 0009
fff2 ffef 0027 0008

0009 001a ffe2 0012
fff7 0004 ffd5 fff5
fff9 ffdf 0022 0000
fff7 0003 0035 ffdc
0025 0024 ffba ffff
fff1 000e 000a ffff
fffb 0023 0020 ffe7
ffeb ffdc fffa ffd7
001f ffd6 001d 0001
0001 0003 fff3 0012
ffed ffed ffe6 ffcd
0006 002e fff0 fff4
0043 0037 000d fff9
0030 0003 fff2 0017
fffd ffff 0009 0016
ffff 0010 ffe2 ffe5
0009 ffe5 fff3 ffe9
0004 ffd3 0041 0002
ffe1 fff2 0009 fff9
fff1 fffb 0013 ffec
0011 001a 0056 ffe1
ffcf ffef fff9 0017
ffab 0023 fff2 000c
0006 003b fff2 0009
