fffb ffc5 ffd3 0008
0001 fff4 000b fff1
ffca 000d 0006 0011
0016 fff7 ffe0 000d
ffdd 0003 003a 0032
ffee 0004 0006 0013
ffeb 0006 002d 0010
000c 0004 fff9 0017
0036 000a fffb 0012
0024 0006 000b 000e
0007 fff8 0017 0009
0061 0008 ffe8 0002
0024 0007 ffea ffe9
ffe3 ffdf 0002 fff7
0019 ffee 0000 0004
ffea 000f fffd 0009
000c fff0 0007 0000


ffbe ffa1 ffb8 0000
0024 ff06 ff48 0000
ffb2 ff93 ffb0 0000

0034 00e8 00da 0000
ff36 feea ffd2 0000
0031 00e3 00dd 0000

fff6 ff95 ffe7 0000
ffd8 fdf1 ffba 0000
fff6 ff74 ffe7 0000

0073 009d 0070 0000
0065 fcba 006e 0000
0069 0080 0068 0000


0001 0007 ffea 0008
0007 ffe3 0019 fffe
0001 ffe8 0008 000d
ffc8 ffd9 fffd 0016
fffb ffce fff0 0004
0034 fff9 fffe 000b
0009 fffc ffff 0001
0007 ffe1 0022 0007
0001 fffa fffa 0034
000c ffec 0019 ffd8
000c fff8 ffff 0016
0010 0007 0006 0009
0004 fff5 0007 ffdd
0009 0007 fff1 000c
fff8 0013 0012 0011
0005 0003 fffb fff8
0000 fffd 0006 fff3
0012 fff9 0000 0003
fffe 0006 0011 000c
ffbd 0006 fff4 ffe1
fff2 0001 ffdc fffa
ffec ffff 0004 ffea
ffe7 001c 0014 fffc
0013 fff8 0006 ffda

0001 ffec fff9 0016
0001 0027 fff2 0019
fff6 fffb fff3 fffd
0004 ffff 003f 000f
fffe 0006 ffce 000b
fffa ffef fff2 0007
0010 fffd 0014 fff5
fff0 fffc 0001 fffa
fff7 ffe6 000f ffef
fff4 0006 fff3 ffeb
0006 0004 0013 0008
fffd 000a fffd ffc5
0007 0013 0014 fff3
ffe9 fff6 0015 000f
000c 000e fff2 fff8
0018 0011 fff3 0013
fffa ffe3 fff8 0038
0019 000a fff6 0000
0007 ffe8 0000 ffe7
fffc fff3 fff0 ffed
0004 0019 fff5 0007
001b 0006 0009 0011
0043 ffea ffe2 001b
fff4 0026 fff9 ffe9

0008 000c ffdb ffdf
0016 ffe8 0004 fff3
0010 fffc 0001 fff6
ffe7 0003 0011 ffe3
0012 fff3 0008 ffed
0000 fff1 ffee ffee
ffcd ffdf 000b 0008
0008 0012 0007 0017
001d fffb 0000 0005
fff9 0013 000a 0008
0019 0014 fff5 0006
000b 0014 0007 000d
0004 ffe5 0013 fff5
ffdc ffff fff1 0011
ffee ffe9 001d fffa
000a 002e 000c 0028
000c 0002 ffff fff3
0020 fff3 000b ffed
fffe ffe2 0016 fffd
0002 0024 fffb fffe
ffe8 0005 001b 0003
fff7 001d fff9 ffe3
000d fff8 fffe 000e
fff9 ffec fff0 fff3

0016 0012 0002 ffe0
0004 ffe4 fff9 fff5
fff9 fff7 fff3 fffe
0010 ffff 0021 ffee
ffef 0002 0001 0014
0009 0008 ffe5 ffc5
ffee fff8 0008 fff8
0008 0002 ffe6 fffb
fffc 0004 ffee 0021
fff1 ffc9 0004 0003
fff3 fff3 0006 ffea
0029 001e 000b ffea
0019 0005 ffed fff8
000b 0004 0023 fff0
ffe3 0005 000e ffd1
fff4 0004 0005 fffe
0001 ffec ffe8 0020
fffa 0016 0040 fff8
ffda fffd 0012 ffec
ffef 000a ffe3 ffe1
fffe 0006 0018 0012
ffc9 0028 fffd ffe9
ffdc ffe6 ffe6 0002
0022 0025 0003 fff4
