0018 001f ffcd ffe7
fffa fff2 ffe9 ffee
ffe4 ffff ffed 000d
0012 ffda 0014 ffe1

0011 ffd1 fff4 0013
ffd7 001b fff1 fff9
0046 ffff 0002 0000
ffea fffa 0015 fffe
000c ffe9 ffff ffea
001d ffd8 0004 0012
002a ffe1 fff2 006b
0001 fffd ffe6 0004
fff1 000e 001c ffca
fff9 0008 fff5 ffd2
0006 ffdc 000c 0022
ffdf ffdd ffee 0010
0000 0019 fff5 ffef
000e ffe3 ffdf ffe8
001b ffdb ffef 0020
0029 fff2 ffd3 ffec
0002 fff0 ffe0 0011
fffc ffe0 0001 ffef
ffea ffcc fff7 ffe7
ffe0 ffbe fff5 0004
ffe0 0001 ffec 0019
fff3 fff7 0012 0015
ffe4 fff3 0011 0014
0016 ffe9 0016 000b


0084 009d 00a2 0000
0063 01b3 00a5 0000
0084 00bd 00b7 0000

0075 00c6 003f 0000
0135 0177 0047 0000
0075 00d8 003d 0000

ffc7 ff9c ffc5 0000
ff88 ff97 ffb0 0000
ffc8 ff95 ffc5 0000

008e 0003 ff7c 0000
01bb ffff fe6d 0000
00a7 0001 ff62 0000


ffde ffe6 001d 0007
000e ffe9 ffee fffe
0003 fff0 0009 0011
fff6 ffff 0006 fffe
0000 0013 0002 ffe5
ffff fff1 0037 fff7
fffb 0002 fff8 0006
0008 000e fff6 ffb9
fff4 0003 000a 0003
0003 0001 0007 fff5
0017 0013 0015 000d
0000 0005 fff2 ffe6
0000 000a fff9 001d
0005 fffa 0019 0006
0019 ffed 0011 ffea
fffc 0014 ffea fff8
0000 000a fffb 0003
ffb5 0000 fff9 ffe9
0000 0011 0004 0015
0010 fffa 000c 0009
fff0 0000 fff2 ffe8
000f 000e 0006 ffe8
fffc ffff fffa fff6
ffff fffa 0010 fff8

0000 ffff 0018 0012
fff1 000c ffe1 0002
0001 fffc 0023 fffb
0007 ffef 0016 0015
fff4 0028 ffe8 fffb
ffc0 0000 0003 0004
0006 fff6 0019 fffb
fffc ffdc ffe0 000a
ffe2 fffd ffdd ffdf
fffa 001a ffec 0013
000b ffe7 ffef 0004
0000 ffc8 fff2 0002
0013 0007 fffc ffe5
0004 0009 0019 0020
0003 0008 fff4 fff2
fff2 ffe9 ffd7 0004
ffff 0019 0006 0008
fff0 fffe ffe7 000c
0013 fffe fffe 0013
0005 0006 0000 fffb
0026 ffeb 0009 ffe8
ffff 000c 000a ffc6
000f 0004 0002 ffff
ffec 0007 ffce 0022

fff9 0011 0002 fffd
fff3 fff5 0007 0001
0009 0010 000f 0006
0028 fffc 0004 fffc
0015 000c fffd ffe3
000b 000e ffe7 fffb
ffe3 000e fff0 fff3
001b fff4 ffee 000a
ffe2 ffdb fff3 fff1
0009 fff0 fffa fffc
ffd7 0051 0000 fff3
ffdf 000e ffff 0014
0001 fffa ffed ffe2
fffb fffc 0005 0007
fffa ffe7 fffc fffb
ffe3 0010 0032 fffa
0012 0007 fff4 000a
fffd ffe0 0012 ffe7
0004 000d fff3 fffb
000e ffeb fffd fff5
0001 0011 0003 0021
0005 fff1 fffa ffe4
ffe8 0012 000d fff2
fff7 fffd 000d ffea

fff1 0000 ffe2 ffe8
fffe 0019 002a 0012
0003 0012 fff1 0003
fff9 0000 0009 fffb
000a 000d 001b 0009
fff6 0006 fff3 0009
0018 fff5 fffa 0011
000d 000b 0006 001e
fffe 0028 ffde ffe3
ffee fff2 0002 fffa
ffef ffef ffe0 ffe1
0029 ffe9 0008 fffa
0008 fffc 000e fff7
0003 0002 ffdf ffe0
ffea ffea 001a ffdd
000e fff9 ffee fff9
0009 0007 ffea 0004
ffd9 0018 0011 fffe
fffb 0017 0013 0015
ffef ffe9 0009 000a
0001 ffff 0028 000f
fff3 0012 fff8 ffec
ffd8 ffe6 0002 0002
0008 ffe3 0013 0005
